cereals|salads|desserts|seafood,Sed,4
noodles|desserts|sandwiches|pasta,id,2
soups,interdum.,4
sandwiches|noodles,In,10
cereals|noodles|desserts,Lorem,7
noodles|pies,Donec,9
stews|salads|noodles,augue,3
pasta|seafood|salads,Aliquam,8
noodles|pasta|stews|salads,elit,4
noodles|cereals,consequat,2
noodles|cereals|salads,fermentum,5
stews|noodles|desserts,egestas,8
stews|sandwiches|salads|pasta,eu,7
soups|desserts,Phasellus,4
soups,sed,7
stews|salads,blandit.,2
pies|stews|seafood|pasta,Aliquam,3
pasta|noodles|stews,leo,5
salads|desserts|soups,Suspendisse,8
stews|sandwiches,purus,6
soups,"fringilla,",6
salads|stews,elit.,9
noodles,sagittis.,8
stews,"ullamcorper,",2
pies|seafood|noodles|pasta,dapibus,3
pasta|seafood,"eu,",9
sandwiches|desserts|salads,Phasellus,3
desserts|seafood,accumsan,7
salads|stews,ullamcorper,1
noodles|desserts|pasta|pies,Vivamus,7
cereals|pasta,Suspendisse,8
seafood|desserts|pies,eu,3
noodles|salads|desserts,arcu.,7
sandwiches|noodles,mus.,8
desserts|stews|pasta|cereals,scelerisque,0
desserts,ut,5
seafood|desserts|stews|salads,inceptos,10
sandwiches|soups|pasta,Nullam,4
soups,mauris.,3
pasta|desserts|salads,euismod,2
salads|stews,vitae,4
cereals|salads,mauris,6
desserts|soups|sandwiches|cereals,Mauris,8
pies|desserts,ante.,9
desserts|soups|noodles,"et,",9
noodles|stews|seafood,felis,5
desserts|cereals|noodles,penatibus,6
seafood,feugiat,3
pasta|cereals|desserts|sandwiches,Aliquam,9
noodles|seafood,pede,4
salads|soups,faucibus,1
stews,arcu.,2
noodles|soups|salads,enim.,3
noodles|cereals,iaculis,2
seafood|sandwiches|cereals,magnis,4
cereals|soups|desserts|pasta,turpis,5
soups,nibh.,8
pies,dui,1
noodles|stews|pies,semper,5
noodles|stews|pasta,Sed,6
stews|pies|soups|sandwiches,"eu,",9
sandwiches,quam,3
pies|desserts|stews|cereals,ultrices,9
seafood|noodles|pies,Pellentesque,3
soups|noodles,sed,2
stews|cereals,facilisi.,2
stews|desserts|cereals|salads,gravida.,5
desserts|noodles|stews,Nullam,9
pasta|noodles|sandwiches,"suscipit,",9
cereals|pies|noodles,erat.,8
stews|pasta|soups,lacus.,4
desserts|sandwiches|salads|pasta,vestibulum,8
soups|salads|noodles,erat.,7
soups|stews,Donec,1
pies|soups|salads,orci.,2
sandwiches|desserts|pasta,nonummy,3
soups,ante.,4
cereals|noodles,pretium,4
pies|desserts|seafood,Morbi,8
cereals|soups,lobortis.,5
salads|soups|noodles,semper,7
pasta|pies,eros.,2
stews|sandwiches|cereals|soups,Cras,8
sandwiches|desserts,risus.,2
pasta|stews,eros,10
sandwiches|seafood|desserts|stews,Suspendisse,2
seafood|desserts|salads|sandwiches,"est,",1
stews|cereals,convallis,0
desserts,convallis,5
cereals,elit,5
seafood|desserts|pies,rhoncus,8
pies|noodles,lacus.,4
seafood|pasta,Nullam,8
sandwiches|pies|noodles,sit,3
seafood|cereals,dolor,7
pasta|stews|desserts|cereals,diam.,4
sandwiches|soups,eleifend,4
desserts|seafood,metus.,8
sandwiches|stews|pies,dui,2
cereals|sandwiches,sit,6
